ride.alc.driver,female,grade,age,smoke,driver.license
yes,no,9,15,yes,no
no,yes,9,15,no,no
yes,yes,9,15,yes,no
no,yes,9,15,yes,no
yes,yes,9,15,no,no
yes,yes,10,16,yes,yes
yes,yes,10,15,yes,no
no,no,10,16,yes,yes
no,no,10,15,no,no
no,no,10,16,no,yes
no,no,10,16,no,yes
no,no,10,16,yes,yes
yes,yes,10,16,yes,yes
yes,yes,10,15,yes,no
yes,yes,10,16,no,yes
no,no,11,17,yes,yes
yes,yes,10,16,yes,yes
yes,no,10,16,yes,yes
no,yes,10,16,no,yes
no,no,10,15,no,no
no,yes,10,16,no,yes
no,no,10,16,yes,yes
no,yes,10,15,no,no
yes,yes,10,15,yes,no
yes,yes,10,16,yes,yes
no,yes,11,16,no,yes
no,yes,11,16,no,yes
no,yes,11,18,yes,yes
no,yes,11,16,yes,yes
no,no,11,17,yes,yes
no,no,11,17,no,yes
no,yes,12,18,yes,yes
yes,no,11,16,yes,yes
no,no,11,17,NA,yes
no,no,11,17,no,yes
no,no,11,17,no,yes
yes,yes,11,17,yes,yes
yes,yes,11,17,yes,yes
no,no,11,16,yes,yes
no,yes,12,18,yes,yes
no,no,11,18,yes,yes
no,yes,11,17,no,yes
no,no,12,18,yes,yes
no,yes,11,17,yes,yes
yes,no,10,15,yes,no
no,yes,12,18,yes,yes
yes,yes,11,17,yes,yes
no,yes,12,17,yes,yes
no,yes,11,16,yes,yes
yes,yes,12,18,no,yes
yes,no,12,18,yes,yes
no,yes,11,16,no,yes
no,no,12,18,yes,yes
no,no,12,17,yes,yes
yes,yes,12,18,yes,yes
yes,yes,11,17,yes,yes
no,yes,12,18,yes,yes
yes,yes,12,18,yes,yes
yes,NA,11,17,NA,yes
no,no,12,17,yes,yes
yes,yes,12,17,NA,yes
no,no,12,18,no,yes
no,no,11,17,yes,yes
yes,no,11,16,yes,yes
yes,yes,12,17,yes,yes
no,yes,11,18,yes,yes
no,yes,11,17,no,yes
no,yes,11,16,no,yes
no,no,11,17,yes,yes
yes,yes,11,17,yes,yes
no,yes,11,16,yes,yes
no,no,11,16,yes,yes
no,yes,11,17,yes,yes
no,yes,11,18,yes,yes
no,yes,11,17,yes,yes
no,no,11,17,yes,yes
no,yes,11,16,yes,yes
no,yes,12,18,yes,yes
no,yes,12,18,no,yes
yes,yes,12,18,yes,yes
yes,yes,12,17,yes,yes
no,yes,12,18,no,yes
no,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,17,yes,yes
no,yes,12,18,yes,yes
no,yes,12,17,yes,yes
yes,no,12,16,yes,yes
yes,yes,12,18,yes,yes
yes,yes,12,18,yes,yes
yes,yes,12,17,yes,yes
no,yes,11,17,yes,yes
yes,no,10,15,yes,no
no,yes,10,15,yes,no
yes,yes,10,17,yes,yes
yes,no,10,16,no,yes
yes,no,9,14,yes,no
no,no,9,15,no,no
yes,no,9,14,yes,no
no,no,9,14,no,no
yes,no,9,15,yes,no
no,no,9,15,no,no
no,no,9,14,no,no
no,no,9,14,no,no
no,yes,NA,NA,yes,NA
yes,no,9,15,yes,no
yes,no,9,14,no,no
no,no,9,15,no,no
no,no,9,14,no,no
no,no,9,15,NA,no
no,yes,9,16,yes,yes
no,yes,9,15,no,no
no,no,9,14,yes,no
yes,yes,9,15,no,no
no,no,9,15,no,no
no,no,9,14,yes,no
no,no,9,15,yes,no
no,yes,9,15,yes,no
yes,yes,9,15,yes,no
no,no,10,16,no,yes
no,no,9,14,yes,no
no,yes,10,15,no,no
yes,no,12,17,no,yes
no,yes,12,17,no,yes
no,yes,12,18,yes,yes
no,yes,12,17,yes,yes
yes,yes,12,18,yes,yes
no,yes,12,17,yes,yes
no,yes,12,18,yes,yes
no,yes,12,17,yes,yes
no,no,12,18,no,yes
no,no,12,18,yes,yes
no,yes,12,17,yes,yes
no,yes,12,18,no,yes
no,yes,12,18,no,yes
no,yes,12,17,no,yes
no,no,12,18,no,yes
no,yes,12,18,yes,yes
no,yes,12,18,no,yes
no,yes,11,17,yes,yes
no,yes,12,17,no,yes
yes,yes,11,17,yes,yes
no,NA,12,17,no,yes
no,yes,12,18,yes,yes
no,yes,12,18,no,yes
no,yes,12,18,yes,yes
no,yes,12,17,no,yes
no,no,12,17,no,yes
no,yes,12,17,no,yes
no,yes,12,17,yes,yes
no,no,12,18,no,yes
no,no,12,17,no,yes
no,yes,11,17,no,yes
no,yes,11,17,no,yes
no,no,12,17,yes,yes
no,no,11,17,no,yes
no,yes,11,16,yes,yes
no,no,11,17,yes,yes
no,no,11,16,no,yes
no,yes,11,16,yes,yes
no,no,11,16,no,yes
no,yes,11,16,no,yes
no,yes,11,17,no,yes
yes,yes,11,17,no,yes
yes,yes,11,17,no,yes
no,yes,11,16,no,yes
no,yes,11,17,yes,yes
yes,yes,11,17,yes,yes
no,yes,11,16,yes,yes
yes,yes,11,17,yes,yes
yes,yes,11,17,yes,yes
no,yes,11,16,NA,yes
no,yes,11,16,no,yes
yes,NA,11,17,yes,yes
no,no,11,17,no,yes
no,yes,11,16,yes,yes
no,no,11,16,no,yes
no,yes,11,16,yes,yes
no,yes,11,17,yes,yes
no,yes,11,16,yes,yes
yes,yes,11,17,yes,yes
no,yes,10,16,no,yes
no,NA,10,15,yes,no
no,no,11,16,yes,yes
no,yes,10,17,yes,yes
no,yes,12,18,no,yes
no,yes,10,15,no,no
no,NA,10,15,no,no
no,no,10,15,no,no
no,no,11,16,yes,yes
no,yes,10,15,no,no
no,yes,10,16,yes,yes
yes,yes,10,16,yes,yes
yes,yes,10,16,yes,yes
no,no,11,18,yes,yes
no,yes,10,15,no,no
no,yes,10,15,no,no
no,no,10,15,yes,no
no,yes,10,15,yes,no
no,no,10,15,no,no
no,yes,10,15,no,no
no,yes,10,15,no,no
no,yes,10,15,no,no
no,yes,10,16,yes,yes
no,no,10,16,no,yes
no,no,10,16,no,yes
no,no,9,14,no,no
no,yes,9,15,yes,no
no,yes,9,15,yes,no
no,yes,9,16,no,yes
no,no,9,14,no,no
no,no,9,15,no,no
no,yes,9,15,no,no
no,yes,10,16,yes,yes
yes,yes,9,15,yes,no
no,no,9,14,no,no
no,no,9,15,no,no
no,yes,9,15,yes,no
no,yes,10,17,yes,yes
yes,yes,10,15,yes,no
no,no,9,15,yes,no
no,yes,9,16,yes,yes
no,no,9,14,no,no
yes,yes,9,15,no,no
no,no,10,16,no,yes
no,no,10,16,no,yes
no,no,10,16,no,yes
no,no,10,15,no,no
yes,yes,10,16,no,yes
no,no,10,16,no,yes
no,no,10,16,no,yes
no,no,10,16,no,yes
no,no,10,15,yes,no
yes,no,10,16,yes,yes
no,yes,10,16,no,yes
no,no,10,16,no,yes
no,no,10,16,no,yes
no,yes,10,16,yes,yes
no,no,10,16,no,yes
no,yes,11,16,yes,yes
no,no,10,16,no,yes
yes,no,10,15,yes,no
yes,yes,10,15,no,no
no,no,10,15,no,no
yes,no,10,16,no,yes
no,no,10,15,no,no
no,yes,11,18,yes,yes
no,yes,11,16,no,yes
no,yes,11,18,yes,yes
yes,yes,11,16,yes,yes
no,no,11,17,yes,yes
no,yes,11,16,no,yes
yes,yes,11,16,yes,yes
yes,yes,11,16,yes,yes
no,yes,11,16,yes,yes
no,no,11,17,no,yes
no,yes,12,17,yes,yes
yes,yes,11,16,yes,yes
no,no,11,16,no,yes
no,no,11,17,no,yes
no,no,11,16,no,yes
no,yes,11,16,no,yes
no,no,11,16,no,yes
yes,yes,11,16,no,yes
yes,yes,11,17,yes,yes
no,yes,11,17,yes,yes
no,yes,11,16,yes,yes
no,yes,11,16,no,yes
no,NA,12,18,yes,yes
no,yes,12,18,no,yes
no,no,12,18,yes,yes
no,yes,12,17,yes,yes
yes,no,12,18,yes,yes
no,yes,12,17,no,yes
no,yes,12,18,no,yes
no,yes,12,18,yes,yes
yes,yes,12,18,NA,yes
no,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,18,no,yes
yes,yes,12,18,yes,yes
no,yes,12,18,yes,yes
no,yes,12,17,yes,yes
no,no,12,17,no,yes
yes,yes,12,17,yes,yes
yes,yes,12,18,yes,yes
no,yes,12,18,yes,yes
yes,yes,12,18,yes,yes
yes,NA,9,14,no,no
no,no,9,15,yes,no
no,no,9,14,no,no
no,no,9,14,no,no
no,no,9,15,no,no
no,no,9,15,no,no
no,no,9,15,no,no
no,no,9,14,no,no
no,no,9,15,yes,no
yes,no,9,14,no,no
no,no,9,16,yes,yes
no,no,9,15,yes,no
no,yes,9,15,yes,no
no,no,9,15,no,no
yes,yes,10,16,yes,yes
yes,no,9,14,yes,no
no,no,9,14,no,no
no,yes,9,15,yes,no
no,yes,9,14,no,no
no,yes,9,16,yes,yes
yes,yes,9,15,yes,no
no,yes,12,17,yes,yes
no,yes,11,16,yes,yes
no,no,12,18,yes,yes
no,yes,11,17,no,yes
yes,no,11,16,yes,yes
no,NA,12,18,NA,yes
yes,yes,10,15,no,no
no,yes,12,18,no,yes
no,no,10,16,no,yes
no,yes,11,17,yes,yes
no,yes,11,18,no,yes
yes,NA,11,17,yes,yes
yes,yes,NA,18,yes,yes
no,no,11,18,no,yes
yes,NA,12,18,no,yes
no,no,11,17,no,yes
yes,yes,12,18,yes,yes
yes,yes,12,18,yes,yes
yes,yes,10,16,yes,yes
no,yes,11,16,no,yes
no,yes,12,18,no,yes
no,no,11,16,yes,yes
no,yes,11,16,yes,yes
yes,yes,11,17,yes,yes
no,NA,11,18,no,yes
no,no,9,15,no,no
yes,no,11,16,no,yes
no,yes,11,17,no,yes
no,yes,12,18,yes,yes
no,yes,10,16,no,yes
yes,no,NA,NA,yes,NA
no,no,11,16,yes,yes
yes,yes,11,16,yes,yes
no,yes,11,16,NA,yes
yes,yes,11,16,no,yes
yes,no,11,16,yes,yes
yes,yes,11,16,yes,yes
no,NA,12,18,no,yes
yes,yes,11,17,yes,yes
no,yes,12,17,yes,yes
no,yes,12,18,yes,yes
no,yes,12,17,yes,yes
yes,no,10,16,no,yes
yes,yes,12,17,yes,yes
no,no,11,16,yes,yes
no,yes,12,18,yes,yes
no,yes,11,16,yes,yes
yes,NA,12,18,yes,yes
yes,yes,11,16,no,yes
no,yes,10,15,yes,no
yes,yes,11,16,yes,yes
no,no,12,18,no,yes
no,yes,12,18,NA,yes
no,yes,12,17,yes,yes
yes,yes,11,16,yes,yes
yes,yes,11,16,yes,yes
no,yes,11,17,yes,yes
no,no,12,18,yes,yes
yes,yes,12,17,yes,yes
no,no,12,17,yes,yes
yes,yes,12,18,yes,yes
yes,yes,11,16,yes,yes
yes,yes,12,18,no,yes
no,yes,12,18,yes,yes
yes,yes,11,16,yes,yes
no,yes,11,16,yes,yes
yes,yes,10,15,yes,no
yes,NA,9,14,yes,no
no,NA,10,16,yes,yes
no,no,11,17,yes,yes
yes,NA,12,17,NA,yes
no,yes,10,16,no,yes
no,yes,10,15,yes,no
no,NA,12,17,no,yes
yes,yes,11,16,yes,yes
yes,yes,11,17,yes,yes
yes,yes,11,16,yes,yes
yes,no,11,16,no,yes
no,no,9,14,NA,no
yes,yes,11,16,yes,yes
yes,yes,11,16,yes,yes
no,no,11,17,yes,yes
yes,yes,11,17,yes,yes
yes,yes,11,17,yes,yes
no,yes,9,14,yes,no
yes,yes,10,16,yes,yes
yes,yes,12,18,yes,yes
yes,yes,12,18,yes,yes
no,yes,12,18,no,yes
yes,yes,10,16,yes,yes
no,no,9,15,yes,no
yes,no,9,14,yes,no
yes,yes,11,17,yes,yes
yes,no,9,14,yes,no
yes,yes,10,17,no,yes
no,yes,10,16,no,yes
yes,yes,11,17,yes,yes
yes,no,10,17,no,yes
no,yes,11,16,yes,yes
no,yes,10,15,yes,no
yes,yes,9,15,no,no
yes,no,9,15,yes,no
no,no,9,15,no,no
no,yes,10,15,no,no
yes,yes,10,15,yes,no
no,no,9,15,yes,no
yes,no,10,16,no,yes
yes,yes,12,17,yes,yes
no,no,12,18,yes,yes
yes,yes,9,15,yes,no
yes,yes,11,17,yes,yes
yes,yes,12,17,yes,yes
no,no,9,15,no,no
no,yes,10,16,no,yes
no,no,10,15,yes,no
no,yes,10,16,no,yes
yes,yes,9,NA,yes,NA
yes,yes,9,15,yes,no
no,yes,9,15,yes,no
no,no,11,17,yes,yes
yes,yes,9,14,yes,no
no,yes,9,15,yes,no
yes,yes,10,15,yes,no
yes,yes,10,16,no,yes
no,no,9,16,yes,yes
no,no,9,14,no,no
yes,yes,11,17,yes,yes
no,yes,10,15,no,no
no,yes,10,16,yes,yes
no,no,9,14,yes,no
yes,yes,12,18,yes,yes
yes,yes,11,17,yes,yes
no,no,11,16,yes,yes
no,yes,11,18,no,yes
yes,no,9,15,yes,no
no,yes,12,18,no,yes
yes,yes,9,15,yes,no
no,yes,11,18,no,yes
yes,no,9,15,yes,no
yes,yes,10,17,yes,yes
no,yes,9,16,yes,yes
no,no,9,15,no,no
yes,no,10,14,yes,no
yes,yes,9,15,yes,no
yes,yes,9,16,yes,yes
no,yes,10,16,yes,yes
no,yes,10,17,yes,yes
no,yes,10,15,no,no
no,yes,9,16,no,yes
no,yes,9,15,yes,no
yes,yes,10,17,yes,yes
yes,yes,9,17,yes,yes
no,no,10,17,yes,yes
yes,no,9,15,no,no
no,yes,9,14,yes,no
yes,yes,9,16,yes,yes
yes,no,10,16,yes,yes
no,yes,9,16,no,yes
no,no,9,15,yes,no
no,yes,11,18,yes,yes
yes,yes,10,16,yes,yes
yes,no,10,16,yes,yes
no,no,10,16,no,yes
no,yes,10,15,no,no
no,no,10,16,no,yes
no,no,10,16,yes,yes
yes,yes,10,16,yes,yes
no,no,10,16,no,yes
no,no,10,16,yes,yes
no,no,10,15,no,no
yes,no,10,16,yes,yes
yes,no,10,15,yes,no
yes,no,10,15,yes,no
no,no,10,16,yes,yes
no,no,10,15,no,no
no,yes,10,16,yes,yes
no,yes,10,15,yes,no
yes,no,10,16,yes,yes
no,yes,10,18,no,yes
yes,yes,10,16,no,yes
no,no,11,17,yes,yes
no,yes,11,16,yes,yes
no,no,11,17,yes,yes
no,yes,11,16,no,yes
no,yes,11,17,no,yes
no,no,12,18,yes,yes
yes,yes,12,17,yes,yes
no,no,11,16,yes,yes
no,no,11,16,no,yes
yes,no,11,16,yes,yes
no,no,11,16,NA,yes
no,yes,11,16,yes,yes
no,no,11,16,yes,yes
no,yes,11,17,yes,yes
no,no,11,16,no,yes
no,no,12,17,no,yes
yes,yes,12,18,yes,yes
no,yes,12,17,yes,yes
no,yes,12,18,yes,yes
yes,yes,12,17,yes,yes
no,yes,12,18,yes,yes
yes,yes,12,17,yes,yes
no,yes,12,17,no,yes
no,yes,12,17,no,yes
no,yes,12,17,no,yes
no,yes,12,18,yes,yes
no,no,12,17,yes,yes
no,no,12,17,no,yes
no,yes,12,18,yes,yes
yes,yes,12,17,yes,yes
yes,yes,12,17,yes,yes
yes,yes,12,18,yes,yes
no,yes,12,17,yes,yes
no,no,12,17,no,yes
yes,yes,12,17,yes,yes
yes,yes,12,17,yes,yes
no,no,12,18,no,yes
no,yes,12,17,no,yes
no,yes,12,17,yes,yes
no,no,12,17,yes,yes
no,yes,12,18,no,yes
no,no,9,15,no,no
no,no,9,14,no,no
no,no,9,14,no,no
yes,yes,9,15,yes,no
yes,no,9,NA,yes,NA
yes,no,9,15,no,no
no,no,9,14,no,no
yes,no,9,14,no,no
yes,no,9,14,yes,no
no,NA,9,14,no,no
no,no,9,14,yes,no
no,no,9,14,yes,no
